GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fx-rates,com.rates.controller,FxRatesController,0,11,0,0,0,3,0,2,0,2
fx-rates,com.rates.service.impl,FxRatesServiceImpl,0,144,0,6,0,29,0,9,0,6
